INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,UV_Filter_Type,UV_Spectrum_Coverage,Photostability_Rating,Estimated_SPF_Contribution_Weight,UVA_Subtype_Coverage,Critical_Wavelength_Estimate,PA_Rating_Contribution_Level,Photodegradation_Risk,SPF_Synergy_Dependencies,Regulatory_US_Approved,Regulatory_EU_Approved,Regulatory_India_Approved,Regulatory_Australia_Approved,Regulatory_Japan_Approved
Titanium Dioxide,TiO₂,Active,UV filter;Pigment,2,5,25,UV protection,Physical UV scattering,Photoaging,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Zinc Oxide,,Nano concern (inhalation),Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Mineral,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,Yes,Yes,Yes,Yes,Yes
Zinc Oxide,ZnO,Active,UV filter;Soothing,2,10,25,UV protection,Physical UV reflection,Sensitive skin,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Titanium Dioxide,,White cast,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Mineral,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,Yes,Yes,Yes,Yes,Yes
Diethylamino Hydroxybenzoyl Hexyl Benzoate,Uvinul A Plus,Active,UVA filter,1,5,10,UVA protection,UVA absorption,Photoaging,6.0-8.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.95,Octocrylene,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,Moderate,,No,Yes,Yes,Yes,Yes
Ethylhexyl Triazone,Uvinul T150,Active,UVB filter,1,3,5,UVB protection,UVB absorption,Sunburn,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.95,UVA filters,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Tinosorb S,Active,Broad-spectrum UV,1,5,10,UV protection,Broad-spectrum absorption,Photoaging,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb M,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Tinosorb M,Active,Broad-spectrum UV,1,5,10,UV protection,Hybrid absorption/scattering,Photoaging,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb S,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Moderate,,No,Yes,Yes,Yes,Yes
Octocrylene,Octocrylene,Active,UVB filter,2,7,10,UV protection,UV absorption,Sunburn,6.0-8.0,Photostable,Medium,2.0,Safe limits,Limited,Immediate,0.9,Avobenzone,,Sensitization risk,Limited,0.4,0.36,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,,,,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Homosalate,Homosalate,Active,UVB filter,5,10,15,UVB protection,UV absorption,Sunburn,6.0-8.0,Stable,Medium,2.0,Restricted regions,Limited,Immediate,0.7,Octocrylene,,Regulatory scrutiny,Limited,0.4,0.28,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Ensulizole,Phenylbenzimidazole Sulfonic Acid,Active,UVB filter,1,3,4,UVB protection,UV absorption,Sunburn,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.8,Avobenzone,,Water soluble,Limited,0.4,0.3200000000000001,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Ecamsule,Mexoryl SX,Active,UVA filter,1,3,10,UVA protection,UV absorption,Photoaging,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.95,Mexoryl XL,,Limited regions,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,Moderate,,No,Yes,Yes,Yes,Yes
Niacinamide,Vitamin B3,Active,Active,2.0-10.0%,0.05,,Barrier,Ceramide Synth,Barrier,5.0-7.0,,,,Flushing at low pH,Strong,2-4 weeks,0.9,Zinc PCA,,,Strong,1.0,0.9,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Azelaic Acid,Dicarboxy Acid,Active,Active,5.0-20.0%,0.1,,Redness,Antimicrobial,Redness,4.0-5.0,,,,Rosacea Target,Strong,4-12 weeks,0.8,Niacinamide,Strong AHAs,,Strong,1.0,0.8,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Bemotrizinol,Tinosorb S,Active,Active,1.0-6.0%,0.05,,UV Filter,Photostable,UV Filter,5.0-7.5,,,,2026 FDA,Strong,Immediate,,Avobenzone,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,No,Yes,Yes,Yes,Yes
Avobenzone,UV Filter,Active,Active,1.0-3.0%,0.03,,UVA Protec,Chemical,UVA Protec,5.0-7.5,,,,Degrades fast,Strong,Immediate,,Octocrylene,Mineral SPF,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,High,Requires Octocrylene or Tinosorb for stability,Yes,Yes,Yes,Yes,Yes
Ascorbic Acid,,Active,"Part of the Vitamin C family of ingredients, L-ascorbic acid is Vitamin C in its purest form, and th",,,,"Ascorbic acid is a powerhouse ingredient with evidence for collagen synthesis so can help make the skin firmer, helps with hyperpigmentation, dark spo",A potent and multifunctional superstar skincare ingredient with decades of research behind it!,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",Limited,,,,"[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",,Limited,0.4,,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Ethyl Ascorbic Acid,,Active,"Part of the Vitamin C family of ingredients, L-ascorbic acid is designed to improve its stability an",,,,"It is used in skincare to brighten, treat wrinkles, firm the skin, fade hyperpigmentation and offset numerous triggers of environmental damage.","Ethyl Ascorbic Acid is a stable, water- and oil-soluble derivative of pure vitamin C.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Radiance', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",Limited,,,,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,Limited,0.4,,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Licorice Extract,,Active,"It has been shown to prevent and reverse UV-induced skin damage, to provide visible skin-lightening ",,,,"Licorice root extract offers benefits such as:
- Provides anti-inflammatory benefits, helping to calm and reduce redness or irritation in the skin.
",Licorice extract is derived from the root of the licorice plant (glycyrrhiza glabra) and is a popular skincare ingredient known for its potential anti,"[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy']",,,,,"[' ', 'Related Allergy']",Limited,,,,"[' ', 'Related Allergy']",,Limited,0.4,,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Octinoxate,,Active,Octinoxate/Ethylhexyl Methoxycinnamate is a synthetic UV filter used in sun care products to provide,,,,"As with other synthetic UV filters, it works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise ","A clear, oil-soluble, liquid and one of the most commonly used synthetic sunscreen ingredients. It protects against UVB light therefore offering SPF p","[' ', 'UV Protection']",,,,,"[' ', 'Pregnancy', ' ', 'Sensitive']",Limited,,,,"[' ', 'Pregnancy', ' ', 'Sensitive']",,Limited,0.4,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Vitamin C,,Active,"Vitamin C has many skin benefits, including its action as an antioxidant, to neutralise free radical",,,,"Vitamin C promotes Collagen synthesis, so can help make the skin firmer. It also helps with hyperpigmentation, dark spots, and uneven skin tone as wel",A potent and multifunctional superstar skincare ingredient with decades of research behind it.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']",,,,,"[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",Moderate,,,,"[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",,Moderate,0.7,,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Titanium Dioxide,,Mineral UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Mineral,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,Yes,Yes,Yes,Yes,Yes
Zinc Oxide,,Mineral UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Mineral,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,Yes,Yes,Yes,Yes,Yes
Avobenzone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,High,Requires Octocrylene or Tinosorb for stability,Yes,Yes,Yes,Yes,Yes
Octinoxate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Octocrylene,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,,,,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Homosalate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Ensulizole,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,Yes,Yes,Yes,Yes,Yes
Ecamsule,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,Moderate,,No,Yes,Yes,Yes,Yes
Diethylamino Hydroxybenzoyl Hexyl Benzoate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,UVA1,,High,Moderate,,No,Yes,Yes,Yes,Yes
Ethylhexyl Triazone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,,Hybrid UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Moderate,,No,Yes,Yes,Yes,Yes
Bisoctrizole,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,No,Yes,Yes,Yes,Yes
Polysilicone-15,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Amiloxate,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Isoamyl p-Methoxycinnamate,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Drometrizole Trisiloxane,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Diethylhexyl Butamido Triazone,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Ethylhexyl Salicylate,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVB,Moderate,4.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
4-Methylbenzylidene Camphor,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Terephthalylidene Dicamphor Sulfonic Acid,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,UVA,Moderate,3.0,,,,Moderate,,No,Yes,Yes,Yes,Yes
Tris-Biphenyl Triazine,,UV Filter,Sunscreen Agent,,,,Broad spectrum UV protection,Absorbs or reflects ultraviolet radiation,,,,,,,Strong,,,,,,Strong,1.0,,Primary UV Filter,Primary UV Block,Primary UV Block,Organic,Broad Spectrum (UVA + UVB),High,5.0,UVA2 or Broad,Likely >370nm,High,Low,,No,Yes,Yes,Yes,Yes
