INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Asiaticoside,Asiatic acid glucoside,Active,Repair,0.05,0.2,1.0,Wound healing; Barrier Support; Collagen synthesis,Collagen synthesis,Barrier Repair; Sensitive Skin; Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Panthenol,,,Limited,0.4,0.32,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Collagen synthesis,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Urea,Carbamide,Functional,Humectant; Keratolytic,2.0,10.0,40.0,Hydration; Exfoliation / Texture; Protein denaturation,Protein denaturation,Uneven Texture; Hydration,4.5-7.5,Stable,Moderate,1.0,Safe,Limited,1-3 weeks,0.75,Lactic Acid,Inflamed skin,Stinging at high %,Limited,0.4,0.3,,,,Strong Clinical,7.0,4.0,Medium,Humectant,Protein denaturation,Water,Leave-on,,-2.11,60.06,Short (1-4w),1-3 weeks,,Tier 2: Secondary Active,0.8
Glycerin,Glycerol,Functional,Humectant,2.0,5.0,20.0,Hydration; Hygroscopic water binding,Hygroscopic water binding,Hydration; Barrier Repair,3.0-10.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.65,Occlusives,,,Limited,0.4,0.26,,,,Strong Clinical,7.0,4.0,Low,Humectant,Hygroscopic water binding,Water,Leave-on,,-1.76,92.09,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium PCA,PCA sodium salt,Functional,Humectant,0.5,2.0,5.0,Hydration; NMF mimic,NMF mimic,Hydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7.0,4.0,Low,Humectant,NMF mimic,Water,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Betaine,Trimethylglycine,Functional,Osmoprotectant,0.5,3.0,10.0,Hydration; Soothing; Osmoprotectant; Cell osmotic balance,Cell osmotic balance,Hydration; Sensitive Skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,1-2 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Cell osmotic balance,Both,Wash-off,,,,Short (1-4w),1-2 weeks,,Tier 4: Inert Functional,0.1
Propylene Glycol,"1,2-Propanediol",Functional,Solvent; Humectant,1.0,5.0,20.0,Penetration aid; Solvent; Hydration; Solubilization,Solubilization,Hydration,3.0-10.0,Stable,Low-Moderate,1.0,Safe,Limited,Immediate,0.4,Glycerin,Compromised barrier,Can cause allergic/irritant dermatitis in a small %; caution in eczema,Limited,0.4,0.16,,,,Moderate,7.0,4.0,High,Humectant,Solubilization,Water,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Butylene Glycol,"1,3-Butanediol",Functional,Solvent; Humectant,1.0,5.0,20.0,Hydration; Solvent; Solvent action,Solvent action,Hydration; Barrier Repair,3.0-10.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Glycerin,,,Limited,0.4,0.18,,,,Moderate,7.0,4.0,Low,Humectant,Solvent action,Water,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Squalane,Perhydrosqualene,Functional,Emollient,1.0,5.0,20.0,Barrier Support; Hydration; Lipid replenishment,Lipid replenishment,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,0.0,Safe,Limited,1-3 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,,Moderate,6.0,4.0,Low,Emollient,Lipid replenishment,Oil,Leave-on,,10.4,422.81,Short (1-4w),1-3 weeks,,Tier 3: Bioactive Base,0.5
Shea Butter,Butyrospermum Parkii Butter,Functional,Occlusive; Emollient,1.0,10.0,100.0,Barrier Support; Occlusive; Hydration,Occlusion,Hydration; Barrier Repair,5.0-7.0,Oxidation risk,Low,2.0,Safe,Limited,2-4 weeks,0.6,Squalane; Caprylic/Capric Triglyceride,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Occlusion,Oil,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Petrolatum,Petroleum Jelly,Functional,Occlusive,5.0,30.0,100.0,Barrier Support; Occlusive; TEWL reduction,TEWL reduction,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.9,Humectants,,Greasy feel,Limited,0.4,0.36,,,,Strong Clinical,6.0,4.0,Low,Occlusive,TEWL reduction,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Dimethicone,Polydimethylsiloxane; PDMS,Functional,Silicone occlusive,1.0,5.0,20.0,Barrier Support; Silicone occlusive; Film formation,Film formation,Barrier Repair,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,Immediate,0.75,Glycerin,,,Limited,0.4,0.3,,,,Moderate,6.0,4.0,Low,Occlusive,Film formation,Oil,Leave-on,,4.5,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Cyclopentasiloxane,D5 Silicone,Functional,Emollient,1.0,5.0,15.0,Slip; Spreadability; Hydration; Volatile silicone,Volatile silicone,Uneven Texture; Hydration,3.0-10.0,Volatile,Low,1.0,Safe,Limited,Immediate,0.5,Dimethicone,,Environmental concern,Limited,0.4,0.2,,,,Moderate,6.0,4.0,Low,Emollient,Volatile silicone,Oil,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Phenoxyethanol,2-Phenoxyethanol,Functional,Preservative,0.3,0.8,1.0,Preservation; Preservative; Cell membrane disruption,Cell membrane disruption,None (functional/excipient ingredient),3.0-10.0,Stable,Moderate,1.0,Safe at ≤1%,Limited,N/A - Functional/Excipient,0.2,Ethylhexylglycerin,Compromised barrier,Sensitive skin risk,Limited,0.4,0.08,,,,Moderate,2.0,4.0,Medium,Preservative,Cell membrane disruption,Both,Leave-on,,1.13,138.16,N/A,Excipient/functional ingredient; no direct therapeutic timeline,EU: 1.0% max (Annex V/8),Tier 4: Inert Functional,0.1
Ethylhexylglycerin,"3-[(2-Ethylhexyl)oxy]-1,2-propanediol",Functional,Preservative booster,0.1,0.5,1.0,Preservation; Preservative booster; Membrane destabilization,Membrane destabilization,None (functional/excipient ingredient),4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,,Strong Clinical,2.0,4.0,Low,Preservative,Membrane destabilization,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Benzoate,Benzoic acid sodium salt,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,None (functional/excipient ingredient),4.5-5.5,pH dependent,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.25,Potassium Sorbate,High pH formulas,Ineffective at high pH,Limited,0.4,0.1,,,,Moderate,2.0,4.0,Low,Preservative,pH-dependent antimicrobial,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Potassium Sorbate,Sorbic acid potassium salt,Functional,Preservative,0.1,0.3,0.6,Preservation; Preservative; Fungal inhibition,Fungal inhibition,None (functional/excipient ingredient),4.0-6.0,pH dependent,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.25,Sodium Benzoate,High pH formulas,Yeast-only spectrum,Limited,0.4,0.1,,,,Moderate,2.0,4.0,Low,Preservative,Fungal inhibition,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Disodium EDTA,EDTA disodium salt,Functional,Chelating agent,0.05,0.2,0.5,Stability; Chelating agent; Metal ion chelation,Metal ion chelation,None (functional/excipient ingredient),3.0-10.0,Highly stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.15,Preservatives,,,Limited,0.4,0.06,,,,Moderate,4.0,4.0,Low,Chelating Agent,Metal ion chelation,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Citric Acid,"2-Hydroxypropane-1,2,3-tricarboxylic acid",Functional,pH adjuster,0.05,0.3,2.0,pH control; pH adjuster; Buffering,Buffering,None (functional/excipient ingredient),2.0-6.0,Highly stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Sodium Citrate,,Irritation at high %,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Buffering,Both,Leave-on,3.13,-1.72,192.12,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Citrate,Citric acid sodium salt,Functional,Buffer,0.1,0.5,2.0,pH stabilization; Buffer; Buffer system,Buffer system,None (functional/excipient ingredient),3.0-7.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Citric Acid,,,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Buffer system,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Carbomer,Carbopol,Functional,Thickener,0.1,0.5,2.0,Texture enhancement; Thickener; Polymer swelling,Polymer swelling,Uneven Texture,5.0-7.0,Electrolyte sensitive,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.15,Triethanolamine,High electrolytes,pH dependency,Limited,0.4,0.06,,,,Moderate,4.0,4.0,Low,Thickener,Polymer swelling,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylate polymer,Functional,Rheology modifier,0.1,0.4,1.0,Texture enhancement; Rheology modifier; Polymer thickening,Polymer thickening,Uneven Texture,5.0-7.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Neutralizers,,,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Thickener,Polymer thickening,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Triethanolamine,TEA,Functional,Neutralizer,0.1,0.5,2.5,pH adjustment; Neutralizer; Acid neutralization,Acid neutralization,None (functional/excipient ingredient),6.0-8.0,Nitrosamine risk,Moderate,1.0,Restricted use,Limited,N/A - Functional/Excipient,0.1,Carbomer,Nitrosating agents,Controversial perception,Limited,0.4,0.04,,,,Moderate,4.0,4.0,Medium,Skin Conditioning,Acid neutralization,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Xanthan Gum,Xanthan polysaccharide,Functional,Thickener,0.1,0.3,1.0,Viscosity; Thickener; Polysaccharide gel,Polysaccharide gel,Uneven Texture,3.0-10.0,Highly stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.15,Glycerin,,,Limited,0.4,0.06,,,,Moderate,4.0,4.0,Low,Thickener,Polysaccharide gel,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Hydroxyethylcellulose,HEC,Functional,Thickener,0.2,0.8,2.0,Viscosity; Thickener; Cellulose ether,Cellulose ether,Uneven Texture,3.0-10.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.15,Glycerin,,,Limited,0.4,0.06,,,,Moderate,4.0,4.0,Low,Thickener,Cellulose ether,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyacrylate-13,Polymer,Functional,Stabilizer,0.2,0.6,1.0,Emulsion stability; Stabilizer; Polymer network,Polymer network,None (functional/excipient ingredient),4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.2,Isohexadecane,,,Limited,0.4,0.08,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Polymer network,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Isohexadecane,Isoparaffin C16,Functional,Emollient solvent,1.0,5.0,15.0,Light emolliency; Hydration; Hydrocarbon spread,Hydrocarbon spread,Uneven Texture; Hydration,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.35,Silicones,,,Limited,0.4,0.14,,,,Moderate,6.0,4.0,Low,Emollient,Hydrocarbon spread,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Caprylic/Capric Triglyceride,MCT oil,Functional,Emollient,1.0,5.0,20.0,Barrier Support; Hydration; Lipid replenishment,Lipid replenishment,Hydration; Barrier Repair,4.0-8.0,Stable,Low,1.0,Safe,Limited,1-3 weeks,0.6,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Lipid replenishment,Oil,Leave-on,,,,Short (1-4w),1-3 weeks,,Tier 4: Inert Functional,0.1
Cetearyl Alcohol,Cetyl/Stearyl Alcohol,Functional,Fatty alcohol; Emollient,1.0,3.0,10.0,Barrier Support; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.6,Ceteareth-20,Acne-prone skin,Misidentified as drying,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid,Both,Leave-on,,,,Short (1-4w),1-3 weeks,,Tier 4: Inert Functional,0.1
Cetyl Alcohol,Hexadecanol,Functional,Fatty alcohol; Emollient,0.5,2.0,10.0,Softening; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid,Both,Leave-on,,,,Short (1-4w),1-3 weeks,,Tier 4: Inert Functional,0.1
Stearyl Alcohol,Octadecanol,Functional,Fatty alcohol; Emollient,0.5,2.0,10.0,Softening; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid,Both,Leave-on,,,,Short (1-4w),1-3 weeks,,Tier 4: Inert Functional,0.1
Ceteareth-20,Ethoxylated fatty alcohol,Functional,Emulsifier,0.5,2.0,5.0,Emulsion stability; Emulsifier; Nonionic surfactant,Nonionic surfactant,None (functional/excipient ingredient),4.0-8.0,Stable,Low,2.0,Safe,Limited,N/A - Functional/Excipient,0.25,Fatty alcohols,,Ethoxylation concern,Limited,0.4,0.1,,,,Moderate,3.0,4.0,Low,Emulsifier,Nonionic surfactant,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polysorbate 20,Tween 20,Functional,Solubilizer,0.2,1.0,5.0,Solubilization; Solubilizer; Nonionic surfactant,Nonionic surfactant,None (functional/excipient ingredient),3.0-10.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.3,Essential oils,,,Limited,0.4,0.12,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Nonionic surfactant,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polysorbate 80,Tween 80,Functional,Solubilizer,0.2,1.0,5.0,Solubilization; Solubilizer; Nonionic surfactant,Nonionic surfactant,None (functional/excipient ingredient),3.0-10.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.3,Fragrance,,,Limited,0.4,0.12,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Nonionic surfactant,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
PEG-40 Hydrogenated Castor Oil,PEG-40 HCO,Functional,Solubilizer,0.5,2.0,5.0,Solubilization; Solubilizer; Ethoxylated oil,Ethoxylated oil,None (functional/excipient ingredient),4.0-8.0,Stable,Low,3.0,Safe,Limited,N/A - Functional/Excipient,0.25,Fragrance,,Ethoxylation concern,Limited,0.4,0.1,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Ethoxylated oil,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Laureth Sulfate,SLES,Functional,Surfactant,2.0,10.0,15.0,Cleansing; Surfactant; Anionic surfactant,Anionic surfactant,None (functional/excipient ingredient),5.5-7.0,Stable,High,3.0,Safe (rinse-off),Limited,Immediate,0.5,Cocamidopropyl Betaine,Compromised barrier,Irritating,Limited,0.4,0.2,,,,Moderate,5.0,4.0,High,Surfactant,Anionic surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Lauryl Sulfate,SLS,Functional,Surfactant,1.0,5.0,10.0,Cleansing; Surfactant; Foaming,Protein denaturation,None (functional/excipient ingredient),5.0-7.0,Stable,High,3.0,Safe (rinse-off),Limited,Immediate,0.45,Amphoterics,Leave-on products,Barrier damage,Limited,0.4,0.18,,,,Moderate,5.0,4.0,High,Surfactant,Protein denaturation,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Cocamidopropyl Betaine,CAPB,Functional,Amphoteric surfactant,2.0,6.0,12.0,Mild cleansing; Amphoteric surfactant; Foam boosting,Foam boosting,Sensitive Skin,5.0-7.0,Stable,Moderate,2.0,Safe,Limited,Immediate,0.6,Sodium Laureth Sulfate,Leave-on products,Allergy reports,Limited,0.4,0.24,,,,Moderate,5.0,4.0,Medium,Surfactant (Amphoteric),Foam boosting,Both,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Decyl Glucoside,Alkyl polyglucoside,Functional,Nonionic surfactant,2.0,5.0,10.0,Gentle cleansing; Nonionic surfactant; Sugar surfactant,Sugar surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Coco Glucoside,,,Limited,0.4,0.28,,,,Moderate,5.0,4.0,Low,Surfactant (Non-ionic),Sugar surfactant,Both,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Coco Glucoside,APG surfactant,Functional,Nonionic surfactant,2.0,5.0,10.0,Gentle cleansing; Nonionic surfactant; Sugar surfactant,Sugar surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Decyl Glucoside,,,Limited,0.4,0.28,,,,Moderate,5.0,4.0,Low,Surfactant (Non-ionic),Sugar surfactant,Both,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Cocoyl Isethionate,SCI,Functional,Mild surfactant,2.0,8.0,15.0,Gentle cleansing; Mild surfactant; Low-irritation anionic surfactant,Low-irritation anionic surfactant,Sensitive Skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,,Moderate,5.0,4.0,Low,Surfactant,Low-irritation anionic surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Lauroyl Sarcosinate,Sarcosinate surfactant,Functional,Mild surfactant,2.0,5.0,10.0,Gentle cleansing; Mild surfactant; Amino acid surfactant,Amino acid surfactant,Acne & Oily Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Cocamidopropyl Betaine,,,Limited,0.4,0.28,,,,Moderate,5.0,4.0,Low,Surfactant,Amino acid surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Disodium Laureth Sulfosuccinate,Sulfosuccinate,Functional,Mild surfactant,2.0,6.0,12.0,Low-irritation cleansing; Mild surfactant; Large molecule anionic,Large molecule anionic,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,,Moderate,5.0,4.0,Low,Surfactant,Large molecule anionic,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
