INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Petrolatum,Petroleum Jelly,Functional,Occlusive,5,30,100,Barrier repair,TEWL reduction,Severely dry skin,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.9,Humectants,,Greasy feel,Limited,0.4,0.36,,,
Dimethicone,Dimethicone,Functional,Silicone occlusive,1,5,20,Barrier smoothing,Film formation,Irritated skin,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,Immediate,0.75,Glycerin,,,Limited,0.4,0.3,,,
Cyclopentasiloxane,D5 Silicone,Functional,Emollient,1,5,15,Slip;Spreadability,Volatile silicone,Texture improvement,3.0-10.0,Volatile,Low,1.0,Safe,Limited,Immediate,0.5,Dimethicone,,Environmental concern,Limited,0.4,0.2,,,
Phenoxyethanol,Phenoxyethanol,Functional,Preservative,0.3,0.8,1,Preservation,Cell membrane disruption,Microbial control,3.0-10.0,Stable,Medium,1.0,Safe ≤1%,Limited,—,0.2,Ethylhexylglycerin,Compromised barrier,Sensitive skin risk,Limited,0.4,0.08000000000000002,,,
Ethylhexylglycerin,Ethylhexylglycerin,Functional,Preservative booster,0.1,0.5,1,Preservation,Membrane destabilization,Product safety,4.0-8.0,Stable,Low,1.0,Safe,Limited,—,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,
Sodium Benzoate,Benzoic acid sodium salt,Functional,Preservative,0.1,0.3,0.5,Preservation,pH-dependent antimicrobial,Product safety,4.5-5.5,pH dependent,Low,1.0,Safe,Limited,—,0.25,Potassium Sorbate,High pH formulas,Ineffective at high pH,Limited,0.4,0.1,,,
Potassium Sorbate,Sorbic acid potassium salt,Functional,Preservative,0.1,0.3,0.6,Preservation,Fungal inhibition,Product safety,4.0-6.0,pH dependent,Low,1.0,Safe,Limited,—,0.25,Sodium Benzoate,High pH formulas,Yeast-only spectrum,Limited,0.4,0.1,,,
Disodium EDTA,EDTA disodium salt,Functional,Chelating agent,0.05,0.2,0.5,Stability,Metal ion chelation,Formula stability,3.0-10.0,Highly stable,Low,0.0,Safe,Limited,—,0.15,Preservatives,,,Limited,0.4,0.06,,,
Citric Acid,Citric acid,Functional,pH adjuster,0.05,0.3,2,pH control,Buffering,Formula stability,2.0-6.0,Highly stable,Low,0.0,Safe,Limited,—,0.2,Sodium Citrate,,Irritation at high %,Limited,0.4,0.08000000000000002,,,
Sodium Citrate,Citric acid sodium salt,Functional,Buffer,0.1,0.5,2,pH stabilization,Buffer system,Formula stability,3.0-7.0,Stable,Low,0.0,Safe,Limited,—,0.2,Citric Acid,,,Limited,0.4,0.08000000000000002,,,
Carbomer,Carbopol,Functional,Thickener,0.1,0.5,2,Texture control,Polymer swelling,Viscosity,5.0-7.0,Electrolyte sensitive,Low,0.0,Safe,Limited,—,0.15,TEA,High electrolytes,pH dependency,Limited,0.4,0.06,,,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylate polymer,Functional,Rheology modifier,0.1,0.4,1,Texture stabilization,Polymer thickening,Formula feel,5.0-7.0,Stable,Low,0.0,Safe,Limited,—,0.2,Neutralizers,,,Limited,0.4,0.08000000000000002,,,
Triethanolamine,TEA,Functional,Neutralizer,0.1,0.5,2.5,pH adjustment,Acid neutralization,Formula stability,6.0-8.0,Nitrosamine risk,Medium,1.0,Restricted use,Limited,—,0.1,Carbomer,Nitrosating agents,Controversial perception,Limited,0.4,0.04000000000000001,,,
Xanthan Gum,Xanthan gum,Functional,Thickener,0.1,0.3,1,Viscosity,Polysaccharide gel,Texture,3.0-10.0,Highly stable,Low,0.0,Safe,Limited,—,0.15,Glycerin,,,Limited,0.4,0.06,,,
Hydroxyethylcellulose,HEC,Functional,Thickener,0.2,0.8,2,Viscosity,Cellulose ether,Texture,3.0-10.0,Stable,Low,0.0,Safe,Limited,—,0.15,Glycerin,,,Limited,0.4,0.06,,,
Polyacrylate-13,Polymer,Functional,Stabilizer,0.2,0.6,1,Emulsion stability,Polymer network,Formula stability,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.2,Isohexadecane,,,Limited,0.4,0.08000000000000002,,,
Isohexadecane,Isohexadecane,Functional,Emollient solvent,1,5,15,Light emolliency,Hydrocarbon spread,Texture,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,—,0.35,Silicones,,,Limited,0.4,0.14,,,
Caprylic/Capric Triglyceride,MCT oil,Functional,Emollient,1,5,20,Barrier softening,Lipid replenishment,Dry skin,4.0-8.0,Stable,Low,1.0,Safe,Limited,1-3 weeks,0.6,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,
Cetearyl Alcohol,Cetyl/Stearyl Alcohol,Functional,Fatty alcohol;Emollient,1,3,10,Barrier support,Occlusive lipid,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.6,Ceteareth-20,Acne-prone skin,Misidentified as drying,Limited,0.4,0.24,,,
Cetyl Alcohol,Hexadecanol,Functional,Fatty alcohol;Emollient,0.5,2,10,Softening,Occlusive lipid,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,
Stearyl Alcohol,Octadecanol,Functional,Fatty alcohol;Emollient,0.5,2,10,Softening,Occlusive lipid,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,
Ceteareth-20,Ethoxylated fatty alcohol,Functional,Emulsifier,0.5,2,5,Emulsion stability,Nonionic surfactant,Formula stability,4.0-8.0,Stable,Low,2.0,Safe,Limited,—,0.25,Fatty alcohols,,Ethoxylation concern,Limited,0.4,0.1,,,
Polysorbate 20,Tween 20,Functional,Solubilizer,0.2,1,5,Solubilization,Nonionic surfactant,Formula clarity,3.0-10.0,Stable,Low,1.0,Safe,Limited,—,0.3,Essential oils,,,Limited,0.4,0.12,,,
Polysorbate 80,Tween 80,Functional,Solubilizer,0.2,1,5,Solubilization,Nonionic surfactant,Formula clarity,3.0-10.0,Stable,Low,1.0,Safe,Limited,—,0.3,Fragrance,,,Limited,0.4,0.12,,,
PEG-40 Hydrogenated Castor Oil,PEG-40 HCO,Functional,Solubilizer,0.5,2,5,Solubilization,Ethoxylated oil,Formula clarity,4.0-8.0,Stable,Low,3.0,Safe,Limited,—,0.25,Fragrance,,Ethoxylation concern,Limited,0.4,0.1,,,
Sodium Laureth Sulfate,SLES,Functional,Surfactant,2,10,15,Cleansing,Anionic surfactant,Cleansing,5.0-7.0,Stable,High,3.0,Safe rinse-off,Limited,Immediate,0.5,Cocamidopropyl Betaine,Compromised barrier,Irritating,Limited,0.4,0.2,,,
Sodium Lauryl Sulfate,SLS,Functional,Surfactant,1,5,10,Cleansing,Protein denaturation,Cleansing,5.0-7.0,Stable,High,3.0,Safe rinse-off,Limited,Immediate,0.45,Amphoterics,Leave-on products,Barrier damage,Limited,0.4,0.18,,,
Cocamidopropyl Betaine,CAPB,Functional,Amphoteric surfactant,2,6,12,Mild cleansing,Foam boosting,Sensitive skin,5.0-7.0,Stable,Medium,2.0,Safe,Limited,Immediate,0.6,SLES,Leave-on products,Allergy reports,Limited,0.4,0.24,,,
Decyl Glucoside,Alkyl polyglucoside,Functional,Nonionic surfactant,2,5,10,Gentle cleansing,Sugar surfactant,Sensitive skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Coco Glucoside,,,Limited,0.4,0.28,,,
Coco Glucoside,APG surfactant,Functional,Nonionic surfactant,2,5,10,Gentle cleansing,Sugar surfactant,Sensitive skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Decyl Glucoside,,,Limited,0.4,0.28,,,
Sodium Cocoyl Isethionate,SCI,Functional,Mild surfactant,2,8,15,Gentle cleansing,Low-irritation anionic surfactant,Sensitive skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,
Sodium Lauroyl Sarcosinate,Sarcosinate surfactant,Functional,Mild surfactant,2,5,10,Gentle cleansing,Amino acid surfactant,Acne-prone,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,CAPB,,,Limited,0.4,0.28,,,
Disodium Laureth Sulfosuccinate,Sulfosuccinate,Functional,Mild surfactant,2,6,12,Low-irritation cleansing,Large molecule anionic,Sensitive skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.75,CAPB,,,Limited,0.4,0.3,,,
Sodium Cocoyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2,5,10,Gentle cleansing,Skin-identical amino acid,Sensitive;Dry skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Sodium Lauroyl Glutamate,,,Limited,0.4,0.3200000000000001,,,
Sodium Lauroyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2,5,10,Gentle cleansing,Low irritation surfactant,Sensitive skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Sodium Cocoyl Glutamate,,,Limited,0.4,0.3200000000000001,,,
PEG-7 Glyceryl Cocoate,PEG ester,Functional,Refatting surfactant,1,3,8,Skin conditioning,Lipid replenishment,Dry skin,5.0-7.0,Stable,Low,2.0,Safe,Limited,—,0.5,SLES,,Ethoxylation concern,Limited,0.4,0.2,,,
Glyceryl Stearate,Glycerol stearate,Functional,Emulsifier;Emollient,1,3,8,Barrier support,Lamellar structure,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,PEG-100 Stearate,,,Limited,0.4,0.24,,,
PEG-100 Stearate,PEG stearate,Functional,Emulsifier,0.5,2,5,Emulsion stability,Nonionic surfactant,Formula stability,4.0-8.0,Stable,Low,2.0,Safe,Limited,—,0.4,Glyceryl Stearate,,Ethoxylation concern,Limited,0.4,0.16,,,
Sorbitan Olivate,Olive emulsifier,Functional,Natural emulsifier,1,3,8,Barrier-friendly emulsification,Lamellar emulsifier,Sensitive skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Cetearyl Alcohol,,,Limited,0.4,0.28,,,
Cetearyl Olivate,Olive emulsifier,Functional,Natural emulsifier,1,3,8,Barrier mimic,Lamellar structure,Sensitive skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Sorbitan Olivate,,,Limited,0.4,0.28,,,
Cholesterol,Cholesterol,Functional,Barrier lipid,0.1,0.5,2,Barrier repair,SC lipid replacement,Barrier damage,5.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.9,Ceramides;FA,,,Limited,0.4,0.36,,,
Linoleic Acid,Omega-6 fatty acid,Active,Barrier repair,0.5,2,5,Acne barrier support,Sebum normalization,Acne-prone,4.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Oleic Acid,Omega-9 fatty acid,Functional,Emollient,0.5,3,10,Softening,Lipid fluidization,Dry skin,4.0-7.0,Oxidation sensitive,Medium,2.0,Safe,Limited,2-4 weeks,0.5,Oils,Compromised barrier,Barrier disruption risk,Limited,0.4,0.2,,,
Palmitic Acid,Fatty acid,Functional,Emollient,0.5,2,8,Barrier softening,Occlusive lipid,Dry skin,4.0-7.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Fatty alcohols,,,Limited,0.4,0.22,,,
Stearic Acid,Octadecanoic acid,Functional,Emollient;Structurant,0.5,2,8,Barrier support,Occlusive lipid structuring,Dry skin,4.0-7.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Glyceryl Stearate,,,Limited,0.4,0.22,,,
Behenyl Alcohol,Docosanol,Functional,Fatty alcohol;Emollient,0.5,2,8,Barrier softening,Occlusive lipid,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,Emulsifiers,,,Limited,0.4,0.24,,,
Arachidyl Alcohol,Eicosanol,Functional,Fatty alcohol;Emollient,0.5,2,8,Barrier softening,Lipid structuring,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,Behenyl Alcohol,,,Limited,0.4,0.24,,,
Arachidyl Glucoside,Sugar emulsifier,Functional,Emulsifier,0.5,2,6,Barrier-friendly emulsification,Lamellar emulsifier,Sensitive skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Fatty alcohols,,,Limited,0.4,0.28,,,
Hydrogenated Lecithin,Phospholipid,Functional,Barrier lipid;Emulsifier,0.1,1,5,Barrier repair,Lamellar lipid delivery,Barrier damage,5.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,
Phytosphingosine,Phytosphingosine,Active,Barrier repair,0.05,0.2,1,Anti-inflammatory,Ceramide precursor,Acne;Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Ceramides,,,Limited,0.4,0.36,,,
Ceramide AP,Ceramide 6-II,Functional,Barrier lipid,0.05,0.5,2,Barrier repair,SC lipid replacement,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Cholesterol;FA,,,Limited,0.4,0.34,,,
Ceramide EOP,Ceramide 1,Functional,Barrier lipid,0.05,0.5,2,Barrier repair,Lamellar lipid structuring,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Cholesterol;FA,,,Limited,0.4,0.36,,,
Ceramide NS,Ceramide 2,Functional,Barrier lipid,0.05,0.5,2,Barrier repair,SC lipid replacement,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Cholesterol;FA,,,Limited,0.4,0.34,,,
Copper Tripeptide-1,GHK-Cu,Active,Peptide;Anti-aging,0.01,0.05,0.1,Repair;Anti-aging,Copper-mediated wound repair,Aging;Post-acne,5.0-7.0,Light sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.9,Niacinamide,Strong acids,Overpriced formulations,Limited,0.4,0.36,,,
Palmitoyl Pentapeptide-4,Matrixyl,Active,Peptide;Anti-aging,0.002,0.01,0.05,Wrinkle reduction,Collagen signaling,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Hyaluronic Acid,Strong acids,Claim inflation,Limited,0.4,0.34,,,
Palmitoyl Tripeptide-1,Biopeptide CL,Active,Peptide;Repair,0.002,0.01,0.05,Firming,ECM signaling,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tetrapeptide-7,Strong acids,,Limited,0.4,0.3200000000000001,,,
Palmitoyl Tetrapeptide-7,Peptide Q10,Active,Peptide;Soothing,0.002,0.01,0.05,Anti-inflammatory,Cytokine modulation,Redness;Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tripeptide-1,Strong acids,,Limited,0.4,0.3200000000000001,,,
Acetyl Hexapeptide-8,Argireline,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Expression line reduction,SNARE complex inhibition,Dynamic wrinkles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Hyaluronic Acid,Strong acids,Botox-like claim inflation,Limited,0.4,0.3,,,
Hexapeptide-11,Yeast peptide,Active,Peptide;Firming,0.01,0.05,0.1,Firming,ECM stimulation,Skin laxity,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Limited data,Limited,0.4,0.28,,,
Oligopeptide-1,EGF,Active,Growth factor,0.0001,0.001,0.01,Cell renewal,EGF receptor activation,Aging;Post-procedure,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Panthenol,Acids,Overpriced products,Limited,0.4,0.36,,,
Oligopeptide-2,IGF-like peptide,Active,Growth factor,0.0001,0.001,0.01,Repair,Cell proliferation,Barrier damage,6.0-7.0,Heat sensitive,Low,0.0,Caution pregnancy,Limited,4-8 weeks,0.85,Ceramides,Acids,Regulatory caution,Limited,0.4,0.34,,,
Polyglutamic Acid,γ-PGA,Functional,Humectant,0.1,1,3,Hydration,Film-forming humectancy,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.65,Hyaluronic Acid,,,Limited,0.4,0.26,,,
Ectoin,Ectoin,Active,Cell-protective,0.1,0.5,2,Barrier protection,Osmoprotection,Sensitive skin,5.0-7.0,Highly stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Beta-Glucan,Beta-glucan,Active,Soothing;Repair,0.1,0.5,2,Barrier repair,Immune modulation,Sensitive skin,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Colloidal Oatmeal,Avena Sativa Kernel Flour,Active,Soothing,0.5,1,2,Anti-itch,Avenanthramides,Eczema-prone,5.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,
Allantoin,Allantoin,Functional,Soothing,0.1,0.5,2,Skin protectant,Keratoplastic,Irritation,4.0-7.0,Stable,Low,0.0,Safe,Limited,1-3 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,
N-Acetyl Glucosamine,NAG,Active,Brightening,2,4,6,Tone evening,Melanin transfer inhibition,Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,
Tranexamic Acid Cetyl Ester,TXA ester,Active,Brightening,0.3,1,3,Pigmentation reduction,Enhanced skin penetration,Melasma,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.75,Niacinamide,,Limited data,Limited,0.4,0.3,,,
Niacinamide Ascorbate,Vitamin B3 + C complex,Active,Brightening;Antioxidant,1,3,5,Tone correction,Synergistic antioxidant action,Dullness;PIH,5.0-6.0,Moderate stability,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Ferulic Acid,Low pH acids,Stability dependent,Moderate,0.7,0.5249999999999999,,,
Ascorbyl Glucoside,Vitamin C derivative,Active,Brightening;Antioxidant,2,5,10,Brightening,Enzymatic conversion to AA,Pigmentation,5.5-7.0,Very stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Niacinamide,,Slower results,Moderate,0.7,0.4899999999999999,,,
3-O-Ethyl Ascorbic Acid,Ethylated Vitamin C,Active,Brightening,1,3,5,Brightening,Direct antioxidant,PIH;Dullness,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Ferulic Acid,,Overpricing risk,Limited,0.4,0.3200000000000001,,,
Magnesium Ascorbyl Phosphate,MAP,Active,Brightening;Antioxidant,3,5,10,Tone correction,Phosphatase conversion,Acne;PIH,6.0-7.5,Highly stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Niacinamide,Low pH acids,Slow activation,Moderate,0.7,0.5249999999999999,,,
Sodium Ascorbyl Phosphate,SAP,Active,Brightening;Anti-acne,1,3,5,Acne reduction,Antimicrobial,Acne;PIH,6.0-7.0,Highly stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Zinc PCA,Low pH acids,,Limited,0.4,0.3200000000000001,,,
Retinal,Retinaldehyde,Active,Retinoid,0.05,0.1,0.3,Anti-aging;Acne,RAR activation (indirect),Aging;Acne,5.0-6.0,Light sensitive,High,1.0,Avoid pregnancy,Limited,6-10 weeks,0.95,Niacinamide,Benzoyl Peroxide,Irritation risk,Limited,0.4,0.38,,,
Hydroxypinacolone Retinoate,HPR,Active,Ester retinoid,0.1,0.3,1,Anti-aging,RAR binding,Aging,5.0-7.0,Light sensitive,Medium,1.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Peptides,Strong acids,Marketing exaggeration,Limited,0.4,0.34,,,
Bakuchiol,Bakuchiol,Active,Retinol-like,0.5,1,2,Anti-aging,Gene expression modulation,Sensitive aging skin,5.0-7.0,Light stable,Low,0.0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Retinol-equivalent claims,Limited,0.4,0.28,,,
Azelaoyl Diglycinate,PAD,Active,Sebum control,3,5,10,Oil balance,Azelaic derivative action,Acne;Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Lipochroman-6,Dimethylmethoxy Chromanol,Active,Antioxidant,0.05,0.1,0.5,Anti-aging,Broad-spectrum antioxidant,Photoaging,4.0-7.0,Very stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C;E,,Premium pricing,Moderate,0.7,0.595,,,
Astaxanthin,Astaxanthin,Active,Antioxidant,0.01,0.05,0.2,Anti-aging,Carotenoid quenching,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.9,Vitamin E,,Color staining risk,Moderate,0.7,0.63,,,
Coenzyme Q10,Ubiquinone,Active,Antioxidant,0.1,0.5,1,Anti-aging,Mitochondrial electron transport,Aging;Photoaging,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Overpricing risk,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,
