Skin_Concern,Primary_Active,Primary_Evidence_Level,Primary_Effect_Weight,Upgrade_Active,Upgrade_Evidence_Level,Upgrade_Effect_Weight,Upgrade_Type,Works_Better_With,Required_Functional_Support,Safety_Floor,Min_Formulation_Gain,Upgrade_Reason,Confidence_Level,Do_Not_Upgrade,Release_Tier,Do_Not_Upgrade_Reason
General,Acetyl Glucosamine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Hexapeptide-8,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Octapeptide-3,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Tetrapeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Tetrapeptide-11,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Tetrapeptide-2,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Tetrapeptide-5,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Tyrosinamide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetyl Zingerone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acetylarginyltryptophyl Diphenylglycine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acrylates Copolymer,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Adansonia Digitata Seed Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Adapalene,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Adenosine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ahnfeltia Concinna Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alanine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alaria Esculenta Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alcohol Denat,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Algae Exopolysaccharides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Algae Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Algin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alginate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Allantoin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aloe Barbadensis Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aloe Barbadensis Leaf Juice,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aloe Vera,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha Lipoic,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha Lipoic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha-Arbutin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha-Glucan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha-Glucan Oligosaccharide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alpha-Lipoic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Alteromonas Ferment Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aluminum Chlor,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aluminum Starch Octenylsuccinate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Amino Acids,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aminomethyl Propanol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ammonium Acryloyldimethyltaurate/VP Copolymer,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ammonium Lactate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Anti-Ageing Peptides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Apigenin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Apple Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Apple Polyphenols,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Apple Stem Cells,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aqua,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aquagenium,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arachidyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arachidyl Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arbutin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arctostaphylos Uva-Ursi Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Argan Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arginine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arginine HCL,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arginine PCA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arginine/Lysine Polypeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Argireline,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Arnica Montana Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Artemisia Capillaris Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Artemisia Princeps Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ascophyllum Nodosum Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ascorbic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ascorbyl Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ascorbyl Palmitate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ascorbyl Tetraisopalmitate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Asiatic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Asiaticoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Asparagopsis Armata Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Aspergillus Ferment,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Astaxanthin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Avene Thermal Water,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Avobenzone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Avocado Ferment,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Avocado Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaic Acid Derivative,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaic Acid Liposome,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaic Acid Potassium Salt,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaoyl Bis-Dipeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaoyl Diglycinate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Azelaoyl Glycine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,BHA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,BHT,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bacillus Ferment,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Baicalein,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Baicalin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bakuchiol Analog (Babchi Synth),Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beeswax,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Behenyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bemotrizinol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzene,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzophenone-1,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzophenone-2,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzophenone-3,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzophenone-4,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzophenone-5,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzoyl Perox,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Benzyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beta Glucan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beta-Cyclodextrin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beta-Glucan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beta-Glucan Oligosaccharide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Beta-Sitosterol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Betaine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Betaine Salicylate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bifida Ferment Lysate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bilberry Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bio-Active Glucosides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Biosaccharide Gum-1,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Biosaccharide Gum-2,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bisabolol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bisphenol S,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Blue Lotus Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Blue Mallow Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Blueberry Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Borage Seed Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Bromelain,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Butyl Methoxydibenzoylmethane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Butylene Glycol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Butylparaben,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,C12-15 Alkyl Benzoate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 16035,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 19140,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 42090,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77007,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77288,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77491,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77492,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77499,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77742,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,CI 77891,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cabbage Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caffeic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caffeine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Calcium Alginate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Calcium PCA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Calendula Officinalis Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Callus Culture Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Camellia Seed Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Camellia Sinensis Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Campesterol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Camphor,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Camphor Benzalkonium Methosulfate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Candelilla Wax,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Capric Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprooyl Phytosphingosine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprooyl Sphingosine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprylhydroxamic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprylic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprylic/Capric Triglyceride,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Capryloyl Salicylic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprylyl Glycol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Caprylyl/Capryl Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Carbomer,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Carnauba Wax,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Carnitine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Carnosine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Carrageenan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Catalase,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Centella Asiatica,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Centella Asiatica Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Centella Asiatica Leaf Water,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramide AP,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramide EOP,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramide EOS,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramide NP,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramide NS,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceramides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceresin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ceteareth-20,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cetearyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cetearyl Olivate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cetyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chamomile Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chamomilla Recutita Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chemical UV Filters,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chitosan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
