INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk
Butylene Glycol,"1,3-Butanediol",Functional,Solvent;Humectant,1,5,20,Hydration; Solvent; Solvent action,Solvent action,Hydration; Barrier Repair,3.0-10.0,Stable,Low,1,Safe,Limited,Immediate,0.45,Glycerin,,,Limited,0.4,0.18,,,,Moderate,7,4,Low
Squalane,Squalane,Functional,Emollient,1,5,20,Barrier Support; Hydration; Lipid replenishment,Lipid replenishment,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,0,Safe,Limited,1-3 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,,Moderate,6,4,Low
Shea Butter,Butyrospermum Parkii Butter,Functional,Occlusive;Emollient,1,10,100,Barrier Support; Occlusive; Hydration; Occlusion,Occlusion,Hydration; Barrier Repair,5.0-7.0,Oxidation risk,Low,2,Safe,Limited,2-4 weeks,0.6,Oils,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Petrolatum,Petroleum Jelly,Functional,Occlusive,5,30,100,Barrier Support; Occlusive; TEWL reduction,TEWL reduction,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0,Safe,Limited,Immediate,0.9,Humectants,,Greasy feel,Limited,0.4,0.36,,,,Strong Clinical,6,4,Low
Dimethicone,Dimethicone,Functional,Silicone occlusive,1,5,20,Barrier Support; Silicone occlusive; Film formation,Film formation,Barrier Repair,3.0-10.0,Highly stable,Low,1,Safe,Limited,Immediate,0.75,Glycerin,,,Limited,0.4,0.3,,,,Moderate,6,4,Low
Cyclopentasiloxane,D5 Silicone,Functional,Emollient,1,5,15,Slip; Spreadability; Hydration; Volatile silicone,Volatile silicone,Uneven Texture; Hydration,3.0-10.0,Volatile,Low,1,Safe,Limited,Immediate,0.5,Dimethicone,,Environmental concern,Limited,0.4,0.2,,,,Moderate,6,4,Low
Phenoxyethanol,Phenoxyethanol,Functional,Preservative,0.3,0.8,1,Preservation; Preservative; Cell membrane disruption,Cell membrane disruption,,3.0-10.0,Stable,Medium,1,Safe =1%,Limited,?,0.2,Ethylhexylglycerin,Compromised barrier,Sensitive skin risk,Limited,0.4,0.08,,,,Moderate,2,4,Medium
Ethylhexylglycerin,Ethylhexylglycerin,Functional,Preservative booster,0.1,0.5,1,Preservation; Preservative booster; Membrane destabilization,Membrane destabilization,,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,,Strong Clinical,2,4,Low
Sodium Benzoate,Benzoic acid sodium salt,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,,4.5-5.5,pH dependent,Low,1,Safe,Limited,?,0.25,Potassium Sorbate,High pH formulas,Ineffective at high pH,Limited,0.4,0.1,,,,Moderate,2,4,Low
Potassium Sorbate,Sorbic acid potassium salt,Functional,Preservative,0.1,0.3,0.6,Preservation; Preservative; Fungal inhibition,Fungal inhibition,,4.0-6.0,pH dependent,Low,1,Safe,Limited,?,0.25,Sodium Benzoate,High pH formulas,Yeast-only spectrum,Limited,0.4,0.1,,,,Moderate,2,4,Low
Disodium EDTA,EDTA disodium salt,Functional,Chelating agent,0.05,0.2,0.5,Stability; Chelating agent; Metal ion chelation,Metal ion chelation,,3.0-10.0,Highly stable,Low,0,Safe,Limited,?,0.15,Preservatives,,,Limited,0.4,0.06,,,,Moderate,4,4,Low
Citric Acid,Citric acid,Functional,pH adjuster,0.05,0.3,2,pH control; pH adjuster; Buffering,Buffering,,2.0-6.0,Highly stable,Low,0,Safe,Limited,?,0.2,Sodium Citrate,,Irritation at high %,Limited,0.4,0.08,,,,Moderate,4,4,Low
Sodium Citrate,Citric acid sodium salt,Functional,Buffer,0.1,0.5,2,pH stabilization; Buffer; Buffer system,Buffer system,,3.0-7.0,Stable,Low,0,Safe,Limited,?,0.2,Citric Acid,,,Limited,0.4,0.08,,,,Moderate,4,4,Low
Carbomer,Carbopol,Functional,Thickener,0.1,0.5,2,Exfoliation / Texture; Thickener; Polymer swelling,Polymer swelling,Uneven Texture,5.0-7.0,Electrolyte sensitive,Low,0,Safe,Limited,?,0.15,TEA,High electrolytes,pH dependency,Limited,0.4,0.06,,,,Moderate,4,4,Low
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylate polymer,Functional,Rheology modifier,0.1,0.4,1,Exfoliation / Texture; Rheology modifier; Polymer thickening,Polymer thickening,Uneven Texture,5.0-7.0,Stable,Low,0,Safe,Limited,?,0.2,Neutralizers,,,Limited,0.4,0.08,,,,Moderate,4,4,Low
Triethanolamine,TEA,Functional,Neutralizer,0.1,0.5,2.5,pH adjustment; Neutralizer; Acid neutralization,Acid neutralization,,6.0-8.0,Nitrosamine risk,Medium,1,Restricted use,Limited,?,0.1,Carbomer,Nitrosating agents,Controversial perception,Limited,0.4,0.04,,,,Moderate,4,4,Medium
Xanthan Gum,Xanthan gum,Functional,Thickener,0.1,0.3,1,Viscosity; Thickener; Polysaccharide gel,Polysaccharide gel,Uneven Texture,3.0-10.0,Highly stable,Low,0,Safe,Limited,?,0.15,Glycerin,,,Limited,0.4,0.06,,,,Moderate,4,4,Low
Hydroxyethylcellulose,HEC,Functional,Thickener,0.2,0.8,2,Viscosity; Thickener; Cellulose ether,Cellulose ether,Uneven Texture,3.0-10.0,Stable,Low,0,Safe,Limited,?,0.15,Glycerin,,,Limited,0.4,0.06,,,,Moderate,4,4,Low
Polyacrylate-13,Polymer,Functional,Stabilizer,0.2,0.6,1,Emulsion stability; Stabilizer; Polymer network,Polymer network,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.2,Isohexadecane,,,Limited,0.4,0.08,,,,Moderate,4,4,Low
Isohexadecane,Isohexadecane,Functional,Emollient solvent,1,5,15,Light emolliency; Hydration; Hydrocarbon spread,Hydrocarbon spread,Uneven Texture; Hydration,3.0-10.0,Highly stable,Low,1,Safe,Limited,?,0.35,Silicones,,,Limited,0.4,0.14,,,,Moderate,6,4,Low
Caprylic/Capric Triglyceride,MCT oil,Functional,Emollient,1,5,20,Barrier Support; Hydration; Lipid replenishment,Lipid replenishment,Hydration; Barrier Repair,4.0-8.0,Stable,Low,1,Safe,Limited,1-3 weeks,0.6,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Cetearyl Alcohol,Cetyl/Stearyl Alcohol,Functional,Fatty alcohol;Emollient,1,3,10,Barrier Support; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2,Safe,Limited,1-3 weeks,0.6,Ceteareth-20,Acne-prone skin,Misidentified as drying,Limited,0.4,0.24,,,,Moderate,6,4,Low
Cetyl Alcohol,Hexadecanol,Functional,Fatty alcohol;Emollient,0.5,2,10,Softening; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration,4.0-8.0,Stable,Low,2,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,,Moderate,6,4,Low
Stearyl Alcohol,Octadecanol,Functional,Fatty alcohol;Emollient,0.5,2,10,Softening; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration,4.0-8.0,Stable,Low,2,Safe,Limited,1-3 weeks,0.55,Emulsifiers,Acne-prone skin,,Limited,0.4,0.22,,,,Moderate,6,4,Low
Ceteareth-20,Ethoxylated fatty alcohol,Functional,Emulsifier,0.5,2,5,Emulsion stability; Emulsifier; Nonionic surfactant,Nonionic surfactant,,4.0-8.0,Stable,Low,2,Safe,Limited,?,0.25,Fatty alcohols,,Ethoxylation concern,Limited,0.4,0.1,,,,Moderate,3,4,Low
Polysorbate 20,Tween 20,Functional,Solubilizer,0.2,1,5,Solubilization; Solubilizer; Nonionic surfactant,Nonionic surfactant,,3.0-10.0,Stable,Low,1,Safe,Limited,?,0.3,Essential oils,,,Limited,0.4,0.12,,,,Moderate,4,4,Low
Polysorbate 80,Tween 80,Functional,Solubilizer,0.2,1,5,Solubilization; Solubilizer; Nonionic surfactant,Nonionic surfactant,,3.0-10.0,Stable,Low,1,Safe,Limited,?,0.3,Fragrance,,,Limited,0.4,0.12,,,,Moderate,4,4,Low
PEG-40 Hydrogenated Castor Oil,PEG-40 HCO,Functional,Solubilizer,0.5,2,5,Solubilization; Solubilizer; Ethoxylated oil,Ethoxylated oil,,4.0-8.0,Stable,Low,3,Safe,Limited,?,0.25,Fragrance,,Ethoxylation concern,Limited,0.4,0.1,,,,Moderate,4,4,Low
Sodium Laureth Sulfate,SLES,Functional,Surfactant,2,10,15,Cleansing; Surfactant; Anionic surfactant,Anionic surfactant,,5.0-7.0,Stable,High,3,Safe rinse-off,Limited,Immediate,0.5,Cocamidopropyl Betaine,Compromised barrier,Irritating,Limited,0.4,0.2,,,,Moderate,5,4,High
Sodium Lauryl Sulfate,SLS,Functional,Surfactant,1,5,10,Cleansing; Surfactant; Protein denaturation,Protein denaturation,,5.0-7.0,Stable,High,3,Safe rinse-off,Limited,Immediate,0.45,Amphoterics,Leave-on products,Barrier damage,Limited,0.4,0.18,,,,Moderate,5,4,High
Cocamidopropyl Betaine,CAPB,Functional,Amphoteric surfactant,2,6,12,Mild cleansing; Amphoteric surfactant; Foam boosting,Foam boosting,Sensitive Skin,5.0-7.0,Stable,Medium,2,Safe,Limited,Immediate,0.6,SLES,Leave-on products,Allergy reports,Limited,0.4,0.24,,,,Moderate,5,4,Medium
Decyl Glucoside,Alkyl polyglucoside,Functional,Nonionic surfactant,2,5,10,Gentle cleansing; Nonionic surfactant; Sugar surfactant,Sugar surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.7,Coco Glucoside,,,Limited,0.4,0.28,,,,Moderate,5,4,Low
Coco Glucoside,APG surfactant,Functional,Nonionic surfactant,2,5,10,Gentle cleansing; Nonionic surfactant; Sugar surfactant,Sugar surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.7,Decyl Glucoside,,,Limited,0.4,0.28,,,,Moderate,5,4,Low
Sodium Cocoyl Isethionate,SCI,Functional,Mild surfactant,2,8,15,Gentle cleansing; Mild surfactant; Low-irritation anionic surfactant,Low-irritation anionic surfactant,Sensitive Skin,5.0-6.5,Stable,Low,1,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,,Moderate,5,4,Low
Sodium Lauroyl Sarcosinate,Sarcosinate surfactant,Functional,Mild surfactant,2,5,10,Gentle cleansing; Mild surfactant; Amino acid surfactant,Amino acid surfactant,Acne & Oily Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.7,CAPB,,,Limited,0.4,0.28,,,,Moderate,5,4,Low
Disodium Laureth Sulfosuccinate,Sulfosuccinate,Functional,Mild surfactant,2,6,12,Low-irritation cleansing; Mild surfactant; Large molecule anionic,Large molecule anionic,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.75,CAPB,,,Limited,0.4,0.3,,,,Moderate,5,4,Low
Sodium Cocoyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2,5,10,Gentle cleansing; Amino acid surfactant; Skin-identical amino acid,Skin-identical amino acid,Hydration; Sensitive Skin,5.0-6.5,Stable,Low,1,Safe,Limited,Immediate,0.8,Sodium Lauroyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5,4,Low
Sodium Lauroyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2,5,10,Gentle cleansing; Amino acid surfactant; Low irritation surfactant,Low irritation surfactant,Sensitive Skin,5.0-6.5,Stable,Low,1,Safe,Limited,Immediate,0.8,Sodium Cocoyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5,4,Low
PEG-7 Glyceryl Cocoate,PEG ester,Functional,Refatting surfactant,1,3,8,Skin conditioning; Refatting surfactant; Lipid replenishment,Lipid replenishment,Hydration,5.0-7.0,Stable,Low,2,Safe,Limited,?,0.5,SLES,,Ethoxylation concern,Limited,0.4,0.2,,,,Moderate,5,4,Low
Glyceryl Stearate,Glycerol stearate,Functional,Emulsifier;Emollient,1,3,8,Barrier Support; Emulsifier; Hydration; Lamellar structure,Lamellar structure,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.6,PEG-100 Stearate,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
PEG-100 Stearate,PEG stearate,Functional,Emulsifier,0.5,2,5,Emulsion stability; Emulsifier; Nonionic surfactant,Nonionic surfactant,,4.0-8.0,Stable,Low,2,Safe,Limited,?,0.4,Glyceryl Stearate,,Ethoxylation concern,Limited,0.4,0.16,,,,Moderate,3,4,Low
Sorbitan Olivate,Olive emulsifier,Functional,Natural emulsifier,1,3,8,Barrier Support; Natural emulsifier; Lamellar emulsifier,Lamellar emulsifier,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1,Safe,Limited,2-4 weeks,0.7,Cetearyl Alcohol,,,Limited,0.4,0.28,,,,Moderate,3,4,Low
Cetearyl Olivate,Olive emulsifier,Functional,Natural emulsifier,1,3,8,Barrier Support; Natural emulsifier; Lamellar structure,Lamellar structure,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1,Safe,Limited,2-4 weeks,0.7,Sorbitan Olivate,,,Limited,0.4,0.28,,,,Moderate,3,4,Low
Cholesterol,Cholesterol,Functional,Barrier lipid,0.1,0.5,2,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.9,Ceramides;FA,,,Limited,0.4,0.36,,,,Moderate,8,4,Low
Linoleic Acid,Omega-6 fatty acid,Active,Barrier repair,0.5,2,5,Barrier Support; Anti-acne,Sebum normalization,Barrier Repair; Acne & Oily Skin,4.0-7.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8,4,Low
Oleic Acid,Omega-9 fatty acid,Functional,Emollient,0.5,3,10,Softening; Hydration; Lipid fluidization,Lipid fluidization,Hydration,4.0-7.0,Oxidation sensitive,Medium,2,Safe,Limited,2-4 weeks,0.5,Oils,Compromised barrier,Barrier disruption risk,Limited,0.4,0.2,,,,Moderate,6,4,Medium
Palmitic Acid,Fatty acid,Functional,Emollient,0.5,2,8,Barrier Support; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-7.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.55,Fatty alcohols,,,Limited,0.4,0.22,,,,Moderate,6,4,Low
Stearic Acid,Octadecanoic acid,Functional,Emollient;Structurant,0.5,2,8,Barrier Support; Hydration; Structurant; Occlusive lipid structuring,Occlusive lipid structuring,Hydration; Barrier Repair,4.0-7.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.55,Glyceryl Stearate,,,Limited,0.4,0.22,,,,Moderate,6,4,Low
Behenyl Alcohol,Docosanol,Functional,Fatty alcohol;Emollient,0.5,2,8,Barrier Support; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.6,Emulsifiers,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
Arachidyl Alcohol,Eicosanol,Functional,Fatty alcohol;Emollient,0.5,2,8,Barrier Support; Fatty alcohol; Hydration; Lipid structuring,Lipid structuring,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.6,Behenyl Alcohol,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
Arachidyl Glucoside,Sugar emulsifier,Functional,Emulsifier,0.5,2,6,Barrier Support; Emulsifier; Lamellar emulsifier,Lamellar emulsifier,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1,Safe,Limited,2-4 weeks,0.7,Fatty alcohols,,,Limited,0.4,0.28,,,,Moderate,3,4,Low
Hydrogenated Lecithin,Phospholipid,Functional,Barrier lipid;Emulsifier,0.1,1,5,Barrier Support; Emulsifier; Lamellar lipid delivery,Lamellar lipid delivery,Barrier Repair,5.0-7.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Moderate,8,4,Low
Phytosphingosine,Phytosphingosine,Active,Barrier repair,0.05,0.2,1,Soothing; Barrier Support; Ceramide precursor,Ceramide precursor,Barrier Repair; Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.9,Ceramides,,,Limited,0.4,0.36,,,,Limited clinical evidence,8,4,Low
Ceramide AP,Ceramide 6-II,Functional,Barrier lipid,0.05,0.5,2,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.85,Cholesterol;FA,,,Limited,0.4,0.34,,,,Strong Clinical,8,4,Low
Ceramide EOP,Ceramide 1,Functional,Barrier lipid,0.05,0.5,2,Barrier Support; Lamellar lipid structuring,Lamellar lipid structuring,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.9,Cholesterol;FA,,,Limited,0.4,0.36,,,,Strong Clinical,8,4,Low
Ceramide NS,Ceramide 2,Functional,Barrier lipid,0.05,0.5,2,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.85,Cholesterol;FA,,,Limited,0.4,0.34,,,,Strong Clinical,8,4,Low
Copper Tripeptide-1,GHK-Cu,Active,Peptide;Anti-aging,0.01,0.05,0.1,Barrier Support; Anti-aging; Peptide,Copper-mediated wound repair,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,5.0-7.0,Light sensitive,Low,0,Safe,Limited,4-8 weeks,0.9,Niacinamide,Strong acids,Overpriced formulations,Limited,0.4,0.36,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Palmitoyl Pentapeptide-4,Matrixyl,Active,Peptide;Anti-aging,0.002,0.01,0.05,Anti-aging; Peptide; Collagen signaling,Collagen signaling,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,8-12 weeks,0.85,Hyaluronic Acid,Strong acids,Claim inflation,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Palmitoyl Tripeptide-1,Biopeptide CL,Active,Peptide;Repair,0.002,0.01,0.05,Anti-aging; Peptide; Barrier Support; ECM signaling,ECM signaling,Aging & Fine Lines; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tetrapeptide-7,Strong acids,,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Palmitoyl Tetrapeptide-7,Peptide Q10,Active,Peptide;Soothing,0.002,0.01,0.05,Soothing; Peptide; Cytokine modulation,Cytokine modulation,Aging & Fine Lines; Redness,5.0-7.0,Stable,Low,0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tripeptide-1,Strong acids,,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Acetyl Hexapeptide-8,Argireline,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Expression line reduction; Peptide; Anti-aging; SNARE complex inhibition,SNARE complex inhibition,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.75,Hyaluronic Acid,Strong acids,Botox-like claim inflation,Limited,0.4,0.3,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Hexapeptide-11,Yeast peptide,Active,Peptide;Firming,0.01,0.05,0.1,Anti-aging; Peptide; ECM stimulation,ECM stimulation,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Limited data,Limited,0.4,0.28,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Oligopeptide-1,EGF,Active,Growth factor,0.0001,0.001,0.01,Cell renewal; Growth factor; EGF receptor activation,EGF receptor activation,Aging & Fine Lines,6.0-7.0,Heat sensitive,Low,0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Panthenol,Acids,Overpriced products,Limited,0.4,0.36,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Oligopeptide-2,IGF-like peptide,Active,Growth factor,0.0001,0.001,0.01,Barrier Support; Growth factor; Cell proliferation,Cell proliferation,Barrier Repair,6.0-7.0,Heat sensitive,Low,0,Caution pregnancy,Limited,4-8 weeks,0.85,Ceramides,Acids,Regulatory caution,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Polyglutamic Acid,?-PGA,Functional,Humectant,0.1,1,3,Hydration; Film-forming humectancy,Film-forming humectancy,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.65,Hyaluronic Acid,,,Limited,0.4,0.26,,,,Moderate,7,4,Low
